Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-3.5497E-16,1.4305E-15,-0.025,0,0,0,29828,984310,-2.2737E-10,1.3012E-09,2213600,-4.8083E-09,3197900,0,0,0,0,0,0,package://track_v5/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://track_v5/meshes/base_link.STL,,整体排布-1,坐标系base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
track_Link,-0.040297,1.0699,0.50079,0,0,0,5800.2,31576,2108,78.334,42308,15.279,73548,0,0,0,0,0,0,package://track_v5/meshes/track_Link.STL,1,1,1,1,0,0,0,0,0,0,package://track_v5/meshes/track_Link.STL,,简单赛道弯-1;减速带停车位-1;上坡-1;赛道底座-2;弯道-1;直道3m-2;环形道-1;巡检仓库-1,坐标系base,基准轴base,track_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
start_Link,4.4409E-16,8.8818E-16,-0.00016245,0,0,0,0.27481,0.014324,-3.5297E-05,-3.1304E-19,0.0049099,-4.6303E-19,0.019234,0,0,0,0,0,0,package://track_v5/meshes/start_Link.STL,1,1,1,1,0,0,0,0,0,0,package://track_v5/meshes/start_Link.STL,,起点-1,坐标系1,基准轴1,start_joint,fixed,1.5972,-5.9217,0.40276,0,0,0.005014,track_Link,0,0,0,,,,,,,,,,,,
traffic_Link,-0.004653,-0.0033567,0,0,0,0,0.45192,0.00054476,1.2933E-06,-4.9541E-20,0.00028682,-2.4586E-22,0.00028682,0,0,0,0,0,0,package://track_v5/meshes/traffic_Link.STL,1,1,1,1,0,0,0,0,0,0,package://track_v5/meshes/traffic_Link.STL,,红绿灯-1,坐标系2,基准轴2,traffic_joint,fixed,1.5422,-5.922,0.9308,0,0,0,track_Link,0,0,0,,,,,,,,,,,,
plant1_Link,-1.843E-13,2.6645E-15,-0.38022,0,0,0,1090.8,84.984,5.6107E-15,1.8011E-13,576.13,9.5863E-14,556.2,0,0,0,0,0,0,package://track_v5/meshes/plant1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://track_v5/meshes/plant1_Link.STL,,实验室架-1,坐标系货架1,,plant1_joint,fixed,2.94,4.5767,1.1632,0,0,0,track_Link,0,0,0,,,,,,,,,,,,
plant2_Link,1.1102E-16,0,-0.38022,0,0,0,1090.8,84.984,-3.2255E-15,-2.6558E-15,576.13,1.0011E-15,556.2,0,0,0,0,0,0,package://track_v5/meshes/plant2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://track_v5/meshes/plant2_Link.STL,,实验室架-4,坐标系货架2,,plant2_joint,fixed,-0.95,4.5767,1.1632,0,0,0,track_Link,0,0,0,,,,,,,,,,,,
plant3_Link,4.4409E-16,0,-0.38022,0,0,0,1090.8,84.984,9.2157E-16,-1.5504E-14,576.13,6.8467E-16,556.2,0,0,0,0,0,0,package://track_v5/meshes/plant3_Link.STL,1,1,1,1,0,0,0,0,0,0,package://track_v5/meshes/plant3_Link.STL,,实验室架-3,坐标系货架3,,plant3_joint,fixed,-3.35,4.5767,1.1632,0,0,0,track_Link,0,0,0,,,,,,,,,,,,
plant4_Link,0,0,-0.38022,0,0,0,1090.8,84.984,6.7559E-14,-4.8779E-14,576.13,-1.0843E-14,556.2,0,0,0,0,0,0,package://track_v5/meshes/plant4_Link.STL,1,1,1,1,0,0,0,0,0,0,package://track_v5/meshes/plant4_Link.STL,,实验室架-6,坐标系货架4,,plant4_joint,fixed,1.75,2.9767,1.1632,0,0,0,track_Link,0,0,0,,,,,,,,,,,,
plant5_Link,7.7716E-16,0,-0.38022,0,0,0,1090.8,84.984,-8.7143E-15,-1.0391E-12,576.13,3.5669E-15,556.2,0,0,0,0,0,0,package://track_v5/meshes/plant5_Link.STL,1,1,1,1,0,0,0,0,0,0,package://track_v5/meshes/plant5_Link.STL,,实验室架-11,坐标系货架5,,plant5_joint,fixed,-0.65,2.9767,1.1632,0,0,0,track_Link,0,0,0,,,,,,,,,,,,
plant6_Link,0,0,-0.38022,0,0,0,1090.8,84.984,1.4962E-14,-8.3181E-15,576.13,8.7316E-15,556.2,0,0,0,0,0,0,package://track_v5/meshes/plant6_Link.STL,1,1,1,1,0,0,0,0,0,0,package://track_v5/meshes/plant6_Link.STL,,实验室架-10,坐标系货架6,,plant6_joint,fixed,-4.55,2.9767,1.1632,0,0,0,track_Link,0,0,0,,,,,,,,,,,,
plant7_Link,0,0,-0.38022,0,0,0,1090.8,84.984,-2.8929E-13,5.3568E-14,576.13,-1.0374E-14,556.2,0,0,0,0,0,0,package://track_v5/meshes/plant7_Link.STL,1,1,1,1,0,0,0,0,0,0,package://track_v5/meshes/plant7_Link.STL,,实验室架-13,坐标系货架7,,plant7_joint,fixed,2.95,1.3767,1.1632,0,0,0,track_Link,0,0,0,,,,,,,,,,,,
plant8_Link,2.2204E-16,0,-0.38022,0,0,0,1090.8,84.984,4.0447E-14,-1.4343E-13,576.13,-8.3036E-15,556.2,0,0,0,0,0,0,package://track_v5/meshes/plant8_Link.STL,1,1,1,1,0,0,0,0,0,0,package://track_v5/meshes/plant8_Link.STL,,实验室架-15,坐标系货架8,,plant8_joint,fixed,-0.95,1.3767,1.1632,0,0,0,track_Link,0,0,0,,,,,,,,,,,,
plant9_Link,0,0,-0.38022,0,0,0,1090.8,84.984,7.481E-15,9.9028E-14,576.13,5.9373E-15,556.2,0,0,0,0,0,0,package://track_v5/meshes/plant9_Link.STL,1,1,1,1,0,0,0,0,0,0,package://track_v5/meshes/plant9_Link.STL,,实验室架-18,坐标系货架9,,plant9_joint,fixed,-3.35,1.3767,1.1632,0,0,0,track_Link,0,0,0,,,,,,,,,,,,
green_belt_Link,-0.19058,-0.46698,0.40895,0,0,0,8.9923,158.34,-62.989,0.3112,463.68,0.048284,622.01,0,0,0,0,0,0,package://track_v5/meshes/green_belt_Link.STL,1,1,1,1,0,0,0,0,0,0,package://track_v5/meshes/green_belt_Link.STL,,绿化道-1,坐标系base,基准轴base,gree_belt_joint,prismatic,0,0,0,0,0,0,track_Link,0,0,-1,0,0,0,0,,,,,,,,
